China, 9596960, 1411750000
India, 3287263, 1380004385
United States, 9833517, 331002651
Indonesia, 1904569, 273523615
Pakistan, 881913, 220892340
Brazil, 8515767, 212559417
Nigeria, 923768, 206139589
Bangladesh, 147570, 164689383
Russia, 17098242, 145934462
Mexico, 1964375, 128932753
Ethiopia, 1104300, 114963588
Japan, 377975, 125836021
Philippines, 300000, 109581078
Egypt, 1002450, 102334404
DR Congo, 2344858, 89561403
Vietnam, 331212, 97338579
Iran, 1648195, 83992949
Turkey, 783562, 84339067
Germany, 357114, 83783942
France, 643801, 67391582
